"co_cid";"no_cid"
"F641";"Travestismo bivalente"
"F642";"Transtorno de identidade sexual na infância"
"F648";"Outros transtornos da identidade sexual"
"F649";"Transtorno não especificado da identidade sexual"
"F65 ";"Transtornos da preferência sexual"
"F650";"Fetichismo"
"F651";"Travestismo fetichista"
"F652";"Exibicionismo"
"F653";"Voyeurismo"
"F654";"Pedofilia"
"F655";"Sadomasoquismo"
"F656";"Transtornos múltiplos da preferência sexual"
"F658";"Outros transtornos da preferência sexual"
"F659";"Transtorno da preferência sexual, não especificado"
"F66 ";"Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e a sua orientação"
"F660";"Transtorno da maturação sexual"
"F661";"Orientação sexual egodistônica"
"F662";"Transtorno do relacionamento sexual"
"F668";"Outros transtornos do desenvolvimento psicossexual"
"F669";"Transtorno do desenvolvimento sexual, não especificado"
"F68 ";"Transtornos da personalidade e do comportamento do adulto"
"F680";"Sintomas físicos aumentados por fatores psicológicos"
"F681";"Produção deliberada ou simulação de sintomas ou de incapacidades, físicas ou psicológicas"
"F688";"Outros transtornos especificados da personalidade e do comportamento do adulto"
"F69 ";"Transtorno da personalidade e do comportamento do adulto, não especificado"
"F70 ";"Retardo mental leve"
"F700";"Retardo mental leve - menção de ausência de ou de comprometimento mínimo do comportamento"
"F701";"Retardo mental leve - comprometimento signif. do comportamento, requerendo vigilância ou tratamento"
"F708";"Retardo mental leve - outros comprometimentos do comportamento"
"F709";"Retardo mental leve - sem menção de comprometimento do comportamento"
"F71 ";"Retardo mental moderado"
"F710";"Retardo mental moderado - menção de ausência de ou de comprometimento mínimo do comportamento"
"F711";"Retardo mental moderado - comprometimento signif. do comport., requerendo vigilância ou tratamento"
"F718";"Retardo mental moderado - outros comprometimentos do comportamento"
"F719";"Retardo mental moderado - sem menção de comprometimento do comportamento"
"F72 ";"Retardo mental grave"
"F720";"Retardo mental grave - menção de ausência de ou de comprometimento mínimo do comportamento"
"F721";"Retardo mental grave - comprometimento signif. do comportamento, requerendo vigilância ou tratamento"
"F728";"Retardo mental grave - outros comprometimentos do comportamento"
"F729";"Retardo mental grave - sem menção de comprometimento do comportamento"
"F73 ";"Retardo mental profundo"
"F730";"Retardo mental profundo - menção de ausência de ou de comprometimento mínimo do comportamento"
"F731";"Retardo mental profundo - comprometimento signif. do comport., requerendo vigilância ou tratamento"
"F738";"Retardo mental profundo - outros comprometimentos do comportamento"
"F739";"Retardo mental profundo - sem menção de comprometimento do comportamento"
"F78 ";"Outro retardo mental"
"F780";"Outro retardo mental - menção de ausência de ou de comprometimento mínimo do comportamento"
"F781";"Outro retardo mental - comprometimento signif. do comportamento, requerendo vigilância ou tratamento"
"F788";"Outro retardo mental - outros comprometimentos do comportamento"
"F789";"Outro retardo mental - sem menção de comprometimento do comportamento"
"F79 ";"Retardo mental não especificado"
"F790";"Retardo mental não especificado - menção de ausência ou de comprometimento mínimo do comportamento"
"F791";"Retardo mental não especificado - compromet. signif. comportam., requerendo vigilância ou tratamento"
"F798";"Retardo mental não especificado - outros comprometimentos do comportamento"
"F799";"Retardo mental não especificado - sem menção de comprometimento do comportamento"
"F80 ";"Transtornos especificos do desenvolvimento da fala e da línguagem"
"F800";"Transtorno específico da articulação da fala"
"F801";"Transtorno expressivo de linguagem"
"F802";"Transtorno receptivo da linguagem"
"F803";"Afasia adquirida com epilepsia [Síndrome de Landau-Kleffner]"
"F808";"Outros transtornos de desenvolvimento da fala ou da linguagem"
"F809";"Transtorno não especificado do desenvolvimento da fala ou da linguagem"
"F81 ";"Transtornos especificos do desenvolvimento das habilidades escolares"
"F810";"Transtorno específico de leitura"
"F811";"Transtorno específico da soletração"
"F812";"Transtorno específico da habilidade em aritmética"
"F813";"Transtorno misto de habilidades escolares"
"F818";"Outros transtornos do desenvolvimento das habilidades escolares"
"F819";"Transtorno não especificado do desenvolvimento das habilidades escolares"
"F82 ";"Transtorno específico do desenvolvimento motor"
"F83 ";"Transtornos específicos misto do desenvolvimento"
"F84 ";"Transtornos globais do desenvolvimento"
"F840";"Autismo infantil"
"F841";"Autismo atípico"
"F842";"Síndrome de Rett"
"F843";"Outro transtorno desintegrativo da infância"
"F844";"Transtorno com hipercinesia associada a retardo mental e a movimentos estereotipados"
"F845";"Síndrome de asperger"
"F848";"Outros transtornos globais do desenvolvimento"
"F849";"Transtornos globais não especificados do desenvolvimento"
"F88 ";"Outros transtornos do desenvolvimento psicológico"
"F89 ";"Transtorno do desenvolvimento psicológico não especificado"
"F90 ";"Transtornos hipercinéticos"
"F900";"Distúrbios da atividade e da atenção"
"F901";"Transtorno hipercinético de conduta"
"F908";"Outros transtornos hipercinéticos"
"F909";"Transtorno hipercinético não especificado"
"F91 ";"Disturbios de conduta"
"F910";"Distúrbio de conduta restrito ao contexto familiar"
"F911";"Distúrbio de conduta não-socializado"
"F912";"Distúrbio de conduta do tipo socializado"
"F913";"Distúrbio desafiador e de oposição"
"F918";"Outros transtornos de conduta"
"F919";"Transtorno de conduta não especificado"
"F92 ";"Transtornos mistos de conduta e das emoções"
"F920";"Distúrbio depressivo de conduta"
"F928";"Outros transtornos mistos da conduta e das emoções"
"F929";"Transtorno misto da conduta e das emoções não especificado"
"F93 ";"Transtornos emocionais com início especificamente na infância"
"F930";"Transtorno ligado à angústia de separação"
"F931";"Transtorno fóbico ansioso da infância"
"F932";"Distúrbio de ansiedade social da infância"
"F933";"Transtorno de rivalidade entre irmãos"
"F938";"Outros transtornos emocionais da infância"
"F939";"Transtorno emocional da infância não especificado"
"F94 ";"Transtornos do funcionamento social com início especificamente durante a infância ou a adolescência"
"F940";"Mutismo eletivo"
"F941";"Distúrbio reativo de vinculação da infância"
"F942";"Transtorno de fixação da infância, com desinibição"
"F948";"Outros transtornos do funcionamento social na infância"
"F949";"Transtorno do funcionamento social da infância não especificado"
"F95 ";"Tiques"
"F950";"Tique transitório"
"F951";"Tique motor ou vocal crônico"
"F952";"Tiques vocais e motores múltiplos combinados [doença de gilles de la tourette]"
"F958";"Outros tiques"
"F959";"Tique não especificado"
"F98 ";"Transtornos comportamentais emocionais com início habitualmente durante a infância ou a adolescência"
"F980";"Enurese de origem não-orgânica"
"F981";"Encoprese de origem não-orgânica"
"F982";"Transtorno de alimentação na infância"
"F983";"Pica do lactente ou da criança"
"F984";"Estereotipias motoras"
"F985";"Gagueira [tartamudez]"
"F986";"Linguagem precipitada"
"F988";"Outros transtornos comportam. e emocionais especif. c/ início habitual. na infância ou adolescência"
"F989";"Transtornos comportam. e emocionais ñ especif. com início habitualmente na infância ou adolescência"
"F99 ";"Transtorno mental não especificado em outra parte"
"G00 ";"Meningite bactériana não classificada em outra parte"
"G000";"Meningite por Haemophilus"
"G001";"Meningite pneumocócica"
"G002";"Meningite estreptocócica"
"G003";"Meningite estafilocócica"
"G008";"Outras meningites bacterianas"
"G009";"Meningite bacteriana não especificada"
"G01 ";"Meningite em doenças bacterianas classificadas em outra parte"
"G02 ";"Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte"
"G020";"Meningite em doenças virais classificadas em outra parte"
"G021";"Meningite em micoses"
"G028";"Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte"
"G03 ";"Meningite devida a outras causas e a causas não especificadas"
"G030";"Meningite não-piogênica"
"G031";"Meningite crônica"
"G032";"Meningite recorrente benigna [Mollaret]"
"G038";"Meningite devida a outras causas especificadas"
"G039";"Meningite não especificada"
"G04 ";"Encefalite mielite e encefalomielite"
"G040";"Encefalite aguda disseminada"
"G041";"Paraplegia espástica tropical"
"G042";"Meningoencefalite e meningomielite bacterianas não classificadas em outra parte"
"G048";"Outras encefalites, mielites e encefalomielites"
"G049";"Encefalite, mielite e encefalomielite não especificada"
"G05 ";"Encefalite mielite e encefalomielite em doenças classificadas em outra parte"
"G050";"Encefalite, mielite e encefalomielite em doenças bacterianas classificadas em outra parte"
"G051";"Encefalite, mielite e encefalomielite em doenças virais classificadas em outra parte"
"G052";"Encefalite, mielite e encefalomielite em outras doenças infec. e parasit. classif. em outra parte"
"G058";"Encefalite, mielite e encefalomielite em outras doenças classificadas em outra parte"
"G06 ";"Abscesso e granuloma intracranianos e intra-raquidianos"
"G060";"Abscesso e granuloma intracranianos"
"G061";"Abscesso e granuloma intra-raquidianos"
"G062";"Abscesso extradural e subdural não especificados"
"G07 ";"Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte"
"G08 ";"Flebite e tromboflebite intracranianas e intra-raquidianas"
"G09 ";"Seqüelas de doenças inflamatórias do sistema nervoso central"
"G10 ";"Doença de Huntington"
"G11 ";"Ataxia hereditária"
"G110";"Ataxia congênita não-progressiva"
"G111";"Ataxia cerebelar de início precoce"
"G112";"Ataxia cerebelar de início tardio"
"G113";"Ataxia cerebelar com déficit na reparação do dna"
"G114";"Paraplegia espástica hereditária"
"G118";"Outras ataxias hereditárias"
"G119";"Ataxia hereditária não especificada"
"G12 ";"Atrofia muscular espinal e síndromes correlatas"
"G120";"Atrofia muscular espinal infantil tipo I [Werdnig-Hoffman]"
"G121";"Outras atrofias musculares espinais hereditárias"
"G122";"Doença do neurônio motor"
"G128";"Outras atrofias musculares espinais e síndromes musculares correlatas"
"G129";"Atrofia muscular espinal não especificada"
"G13 ";"Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças cop"
"G130";"Neuromiopatia e neuropatia paraneoplásicas"
"G131";"Outra atrofia sistêmica que afeta primariamente o sistema nervoso central em doenças neoplásicas"
"G132";"Atrofia sistêmica que afeta primariamente o sistema nervoso central no mixedema"
"G138";"Atrofia sistêmica que afeta primar. o sistema nervoso central noutras doenças classif. noutra parte"
"G20 ";"Doença de Parkinson"
"G21 ";"Parkinsonismo secundário"
"G210";"Síndrome maligna dos neurolépticos"
"G211";"Outras formas de parkinsonismo secundário induzido por drogas"
"G212";"Parkinsonismo secundário devido a outros agentes externos"
"G213";"Parkinsonismo pós-encefalítico"
"G218";"Outras formas de parkinsonismo secundário"
"G219";"Parkinsonismo secundário não especificado"
"G22 ";"Parkinsonismo em doenças classificadas em outra parte"
"G23 ";"Outras doenças degenerativas dos gânglios da base"
"G230";"Doença de Hallervorden-Spatz"
"G231";"Oftalmoplegia supranuclear progressiva [Steele-Richardson-Olszewski]"
"G232";"Degeneração estrionígrica"
"G238";"Outras doenças degenerativas especificadas dos gânglios da base"
"G239";"Doença degenerativa dos gânglios da base, não especificada"
"G24 ";"Distonia"
"G240";"Distonia induzida por drogas"
"G241";"Distonia familiar idiopática"
"G242";"Distonia não-familiar idiopática"
"G243";"Torcicolo espasmódico"
"G244";"Distonia orofacial idiopática"
"G245";"Blefaroespasmo"
"G248";"Outras distonias"
"G249";"Distonia não especificada"
"G25 ";"Outras doenças extrapiramidais e transtornos dos movimentos"
"G250";"Tremor essencial"
"G251";"Tremor induzido por drogas"
"G252";"Outras formas especificadas de tremor"
"G253";"Mioclonia"
"G254";"Coréia induzida por droga"
"G255";"Outras formas de coréia"
"G256";"Tiques induzidos por droga e outros tipos de origem orgânica"
"G258";"Outras doenças extrapiramidais e transtornos dos movimentos, especificados"
"G259";"Doenças extrapiramidais e transtornos dos movimentos, não especificados"
"G26 ";"Doenças extrapiramidais e transtornos dos movimentos em doenças classificadas em outra parte"
"G30 ";"Doença de Alzheimer"
"G300";"Doença de alzheimer de início precoce"
"G301";"Doença de alzheimer de início tardio"
"G308";"Outras formas de doença de Alzheimer"
"G309";"Doença de alzheimer não especificada"
"G31 ";"Outras doenças degenerativas do sistema nervoso não classificadas em outra parte"
"G310";"Atrofia cerebral circunscrita"
"G311";"Degeneração cerebral senil, não classificadas em outra parte"
"G312";"Degeneração do sistema nervoso devida ao álcool"
"G318";"Outras doenças degenerativas especificadas do sistema nervoso"
"G319";"Doença degenerativa do sistema nervoso, não especificada"
"G32 ";"Outros transtornos degenerativos do sistema nervoso em doenças classificadas em outra parte"
"G320";"Degeneração combinada subaguda da medula espinal em doenças classificadas em outra parte"
"G328";"Outros transtornos degenerativos especificados do sistema nervoso em doenças classif. em outra parte"
"G35 ";"Esclerose múltipla"
"G36 ";"Outras desmielinizações disseminadas agudas"
"G360";"Neuromielite óptica [doença de Devic]"
"G361";"Leucoencefalite hemorrágica aguda e subaguda [Hurst]"
"G368";"Outras desmielinizações disseminadas agudas especificadas"
"G369";"Desmielinização disseminada aguda não especificada"
"G37 ";"Outras doenças desmielinizantes do sistema nervoso central"
"G370";"Esclerose difusa"
"G371";"Desmielinização central do corpo caloso"
"G372";"Mielinólise central da ponte"
"G373";"Mielite transversa aguda em doenças desmielinizantes do sistema nervoso central"
"G374";"Mielite subaguda necrótica"
"G375";"Esclerose concêntrica [baló]"
"G378";"Outras doenças desmielinizantes especificadas do sistema nervoso central"
"G379";"Doença desmielinizante do sistema nervoso central, não especificada"
"G40 ";"Epilepsia"
"G400";"Epilepsia e síndr. epilépt. idiop. def. por sua local. (focal - parcial)c/ crises de iníc. focal"
"G401";"Epilepsia e síndr. epilépt. sintom. def. por sua local. (focal - parcial) c/ crises parciais simples"
"G402";"Epilepsia e síndr. epilépt. sintom. def. por sua local. (focal - parcial) c/ crises parc. complexas"
"G403";"Epilepsia e síndrome epiléptica generalizadas idiopáticas"
"G404";"Outras epilepsias e síndromes epilépticas generalizadas"
"G405";"Síndromes epilépticas especiais"
"G406";"Crise de grande mal, não especificada (com ou sem pequeno mal)"
"G407";"Pequeno mal não especificado, sem crises de grande mal"
"G408";"Outras epilepsias"
"G409";"Epilepsia, não especificada"
"G41 ";"Estado de mal epiléptico"
"G410";"Estado de grande mal epiléptico"
"G411";"Estado de pequeno mal epiléptico"
"G412";"Estado de mal epiléptico parcial complexo"
"G418";"Outros estados de mal epiléptico"
"G419";"Estado de mal epiléptico, não especificado"
"G43 ";"Enxaqueca"
"G430";"Enxaqueca sem aura [enxaqueca comum]"
"G431";"Enxaqueca com aura [enxaqueca clássica]"
"G432";"Estado de mal enxaquecoso"
"G433";"Enxaqueca complicada"
"G438";"Outras formas de enxaqueca"
"G439";"Enxaqueca, sem especificação"
"G44 ";"Outras síndromes de algias cefálicas"
"G440";"Síndrome de Cluster-Headache"
"G441";"Cefaléia vascular, não classificada em outra parte"
"G442";"Cefaléia tensional"
"G443";"Cefaléia crônica pós-traumática"
"G444";"Cefaléia induzida por drogas, não classificada em outra parte"
"G448";"Outras síndromes de cefaléia especificadas"
"G45 ";"Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas"
"G450";"Síndrome da artéria vértebro-basilar"
"G451";"Síndrome da artéria carotídea (hemisférica)"
"G452";"Síndrome das artérias pré-cerebrais, múltiplas e bilaterais"
"G453";"Amaurose fugaz"
"G454";"Amnésia global transitória"
"G458";"Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas"
"G459";"Isquemia cerebral transitória não especificada"
"G46 ";"Síndromes vasculares cerebrais que ocorrem em doenças cerebrovasculares"
"G460";"Síndrome da artéria cerebral média"
"G461";"Síndrome da artéria cerebral anterior"
"G462";"Síndrome da artéria cerebral posterior"
"G463";"Síndromes vasculares do tronco cerebral"
"G464";"Síndrome vascular cerebelar"
"G465";"Síndrome lacunar motora pura"
"G466";"Síndrome lacunar sensorial pura"
"G467";"Outras síndromes lacunares"
"G468";"Outras síndromes vasculares cerebrais em doenças cerebrovasculares"
"G47 ";"Distúrbios do sono"
"G470";"Distúrbios do início e da manutenção do sono [insônias]"
"G471";"Distúrbios do sono por sonolência excessiva [hipersonia]"
"G472";"Distúrbios do ciclo vigília-sono"
"G473";"Apnéia de sono"
"G474";"Narcolepsia e cataplexia"
"G478";"Outros distúrbios do sono"
"G479";"Distúrbio do sono, não especificado"
"G50 ";"Transtornos do nervo trigêmeo"
"G500";"Nevralgia do trigêmeo"
"G501";"Dor facial atípica"
"G508";"Outros transtornos do nervo trigêmeo"
"G509";"Transtorno não especificado do nervo trigêmeo"
"G51 ";"Transtornos do nervo facial"
"G510";"Paralisia de bell"
"G511";"Ganglionite geniculada"
"G512";"Síndrome de melkersson"
"G513";"Espasmo hemifacial clônico"
"G514";"Mioquimia facial"
"G518";"Outros transtornos do nervo facial"
"G519";"Transtorno não especificado do nervo facial"
"G52 ";"Transtornos de outros nervos cranianos"
"G520";"Transtornos do nervo olfatório"
"G521";"Transtornos do nervo glossofaríngeo"
"G522";"Transtornos do nervo vago"
"G523";"Transtornos do nervo hipoglosso"
"G527";"Transtornos de múltiplos nervos cranianos"
"G528";"Transtornos de outros nervos cranianos especificados"
"G529";"Transtorno de nervo craniano não especificado"
"G53 ";"Doenças classificadas em outra parte"
"G530";"Nevralgia pós-zoster"
"G531";"Paralisias de múltiplos nervos cranianos em doenças infecciosas e parasitárias class. em outra parte"
"G532";"Paralisias de múltiplos nervos cranianos na sarcoidose"
"G533";"Paralisias de múltiplos nervos cranianos em doenças neoplásicas"
"G538";"Outros transtornos de nervos cranianos em outras doenças classificadas em outra parte"
"G54 ";"Transtornos das raizes e dos plexos nervosos"
"G540";"Transtornos do plexo braquial"
"G541";"Transtornos do plexo lombossacral"
"G542";"Transtornos das raízes cervicais não classificadas em outra parte"
"G543";"Transtornos das raízes torácicas não classificadas em outra parte"
"G544";"Transtornos das raízes lombossacras não classificadas em outra parte"
"G545";"Amiotrofia nevrálgica"
"G546";"Síndrome dolorosa do membro fantasma"
"G547";"Síndrome do membro fantasma sem manifestação dolorosa"
"G548";"Outros transtornos das raízes e dos plexos nervosos"
"G549";"Transtorno não especificado das raízes e dos plexos nervosos"
"G55 ";"Doenças classificadas em outra parte"
"G550";"Compressões das raízes e dos plexos nervosos em doenças neoplásicas"
"G551";"Compressões das raízes e dos plexos nervosos em transtornos dos discos intervertebrais"
"G552";"Compressões das raízes e dos plexos nervosos na espondilose"
"G553";"Compressões das raízes e dos plexos nervosos em outras dorsopatias"
"G558";"Compressões das raízes e dos plexos nervosos em outras doenças classificadas em outra parte"
"G56 ";"Mononeuropatias dos membros superiores"
"G560";"Síndrome do túnel do carpo"
"G561";"Outras lesões do nervo mediano"
"G562";"Lesões do nervo cubital [ulnar]"
"G563";"Lesão do nervo radial"
"G564";"Causalgia"
"G568";"Outras mononeuropatias dos membros superiores"
"G569";"Mononeuropatia dos membros superiores, não especificada"
"G57 ";"Mononeuropatias dos membros inferiores"
"G570";"Lesão do nervo ciático"
"G571";"Meralgia parestésica"
"G572";"Lesão do nervo femoral"
"G573";"Lesão do nervo poplíteo lateral"
"G574";"Lesão do nervo poplíteo medial"
"G575";"Síndrome do túnel do tarso"
"G576";"Lesão do nervo plantar"
"G578";"Outras mononeuropatias dos membros inferiores"
"G579";"Mononeuropatia dos membros inferiores, não especificada"
"G58 ";"Outras mononeuropatias"
"G580";"Neuropatia intercostal"
"G587";"Mononeurite múltipla"
"G588";"Outras mononeuropatias especificadas"
"G589";"Mononeuropatia não especificada"
"G59 ";"Doenças classificadas em outra parte"
"G590";"Mononeuropatia diabética"
"G598";"Outras mononeuropatias em doenças classificadas em outra parte"
"G60 ";"Neuropatia hereditária e idiopática"
"G600";"Neuropatia hereditária motora e sensorial"
"G601";"Doença de refsum"
"G602";"Neuropatia associada a ataxia hereditária"
"G603";"Neuropatia progressiva idiopática"
"G608";"Outras neuropatias hereditárias e idiopáticas"
"G609";"Neuropatia hereditária e idiopática não especificada"
"G61 ";"Polineuropatia inflamatória"
"G610";"Síndrome de guillain-barré"
"G611";"Neuropatia sérica"
"G618";"Outras polineuropatias inflamatórias"
"G619";"Polineuropatia inflamatória não especificada"
"G62 ";"Outras polineuropatias"
"G620";"Polineuropatia induzida por drogas"
"G621";"Polineuropatia alcoólica"
"G622";"Polineuropatia devida a outros agentes tóxicos"
"G628";"Outras polineuropatias especificadas"
"G629";"Polineuropatia não especificada"
"G63 ";"Polineuropatia em doenças classificadas em outra parte"
"G630";"Polineuropatia em doenças infecciosas e parasitárias classificadas em outra parte"
"G631";"Polineuropatia em doenças neoplásicas"
"G632";"Polineuropatia diabética"
"G633";"Polineuropatia em outras doenças endócrinas e metabólicas"
"G634";"Polineuropatia em deficiências nutricionais"
"G635";"Polineuropatia em doenças sistêmicas do tecido conjuntivo"
"G636";"Polineuropatia em outros transtornos osteomusculares"
"G638";"Polineuropatia em outras doenças classificadas em outra parte"
"G64 ";"Outros transtornos do sistema nervoso periférico"
"G70 ";"Transtornos neuromusculares"
"G700";"Miastenia gravis"
"G701";"Transtornos mioneurais tóxicos"
"G702";"Miastenia congênita e do desenvolvimento"
"G708";"Outros transtornos mioneurais especificados"
"G709";"Transtorno mioneural não especificado"
"G71 ";"Transtornos primários dos músculos"
"G710";"Distrofia muscular"
"G711";"Transtornos miotônicos"
"G712";"Miopatias congênitas"
"G713";"Miopatia mitocondrial não classificada em outra parte"
"G718";"Outros transtornos primários dos músculos"
"G719";"Transtorno muscular primário não especificado"
"G72 ";"Outras miopatias"
"G720";"Miopatia induzida por drogas"
"G721";"Miopatia alcoólica"
"G722";"Miopatia devida a outros agentes tóxicos"
"G723";"Paralisia periódica"
"G724";"Miopatia inflamatória não classificada em outra parte"
"G728";"Outras miopatias especificadas"
"G729";"Miopatia não especificada"
"G73 ";"Transtornos da junção mioneural e dos músculos em doenças classificadas em outra parte"
"G730";"Síndromes miastênicas em doenças endócrinas"
"G731";"Síndrome de Eaton-Lambert"
"G732";"Outras síndromes miastênicas em doenças neoplásicas"
"G733";"Síndromes miastênicas em outras doenças classificadas em outra parte"
"G734";"Miopatia em doenças infecciosas e parasitárias classificadas em outra parte"
"G735";"Miopatia em doenças endócrinas"
"G736";"Miopatia em doenças metabólicas"
"G737";"Miopatia em outras doenças classificadas em outra parte"
"G80 ";"Paralisia cerebral"
"G800";"Paralisia cerebral quadriplágica espástica"
"G801";"Paralisia cerebral diplégica espástica"
"G802";"Paralisia cerebral hemiplégica espástica"
"G803";"Paralisia cerebral discinética"
"G804";"Paralisia cerebral atáxica"
"G808";"Outras formas de paralisia cerebral"
"G809";"Paralisia cerebral não especificada"
"G81 ";"Hemiplegia"
"G810";"Hemiplegia flácida"
"G811";"Hemiplegia espástica"
"G819";"Hemiplegia não especificada"
"G82 ";"Paraplegia e tetraplegia"
"G820";"Paraplegia flácida"
"G821";"Paraplegia espástica"
"G822";"Paraplegia não especificada"
"G823";"Tetraplegia flácida"
"G824";"Tetraplegia espástica"
"G825";"Tetraplegia não especificada"
"G83 ";"Outras síndromes paraliticas"
"G830";"Diplegia dos membros superiores"
"G831";"Monoplegia do membro inferior"
"G832";"Monoplegia do membro superior"
"G833";"Monoplegia não especificada"
"G834";"Síndrome da cauda eqüina"
"G838";"Outras síndromes paralíticas especificadas"
"G839";"Síndrome paralítica não especificada"
"G90 ";"Transtornos do sistema nervoso autônomo"
"G900";"Neuropatia autonômica periférica idiopática"
"G901";"Disautonomia familiar [Síndrome de Riley-Day]"
"G902";"Síndrome de Horner"
"G903";"Degeneração multissistêmica"
"G904";"Disreflexia autonômica"
"G908";"Outros transtornos do sistema nervoso autônomo"
"G909";"Transtorno não especificado do sistema nervoso autônomo"
"G91 ";"Hidrocefalia"
"G910";"Hidrocefalia comunicante"
"G911";"Hidrocefalia obstrutiva"
"G912";"Hidrocefalia de pressão normal"
"G913";"Hidrocefalia pós-traumática não especificada"
"G918";"Outras formas de hidrocefalia"
"G919";"Hidrocefalia não especificada"
"G92 ";"Encefalopatia tóxica"
"G93 ";"Transtornos do encefalo"
"G930";"Cistos cerebrais"
"G931";"Lesão encefálica anóxica, não classificada em outra parte"
"G932";"Hipertensão intracraniana benigna"
"G933";"Síndrome da fadiga pós-viral"
"G934";"Encefalopatia não especificada"
"G935";"Compressão do encéfalo"
"G936";"Edema cerebral"
"G937";"Síndrome de Reye"
"G938";"Outros transtornos especificados do encéfalo"
"G939";"Transtorno não especificado do encéfalo"
"G94 ";"Outros transtornos do encéfalo em doenças classificadas em outra parte"
"G940";"Hidrocefalia em doenças infecciosas e parasitárias classificadas em outra parte"
"G941";"Hidrocefalia em doenças neoplásicas"
"G942";"Hidrocefalia em outras doenças classificadas em outra parte"
"G948";"Outros transtornos encefálicos especificados em doenças classificadas em outra parte"
"G95 ";"Doenças da medula espinal"
"G950";"Siringomielia e siringobulbia"
"G951";"Mielopatias vasculares"
"G952";"Compressão não especificada de medula espinal"
"G958";"Outras doenças especificadas da medula espinal"
"G959";"Doença não especificada da medula espinal"
"G96 ";"Transtornos do sistema nervoso central"
"G960";"Fístula liquórica"
"G961";"Transtornos das meninges não classificados em outra parte"
"G968";"Outros transtornos especificados do sistema nervoso central"
"G969";"Transtorno não especificado do sistema nervoso central"
"G97 ";"Transtornos pós-procedimento do sistema nervoso não classificados em outra parte"
"G970";"Perda de líquor resultante de punção espinal"
"G971";"Outra reação à punção espinal e lombar"
"G972";"Hipotensão intracraniana conseqüente à derivação ventricular"
"G978";"Outros transtornos pós-procedimento do sistema nervoso"
"G979";"Transtorno pós-procedimento do sistema nervoso, não especificado"
"G98 ";"Outros transtornos do sistema nervoso não classificados em outra parte"
"G99 ";"Outros transtornos do sistema nervoso em doenças classificadas em outra parte"
"G990";"Neuropatia autonômica em doenças endócrinas e metabólicas"
"G991";"Outros transtornos do sistema nervoso autônomo em doenças classificadas em outra parte"
"G992";"Mielopatia em doenças classificadas em outra parte"
"G998";"Outros transtornos especificados do sistema nervoso em doenças classificadas em outra parte"
"H00 ";"Hordeolo e calazio"
"H000";"Hordéolo e outras inflamações profundas das pálpebras"
"H001";"Calázio"
"H01 ";"Outras inflamações da pálpebras"
"H010";"Blefarite"
"H011";"Dermatoses não infecciosas da pálpebra"
"H018";"Outras inflamações especificadas da pálpebra"
"H019";"Inflamação não especificada da pálpebra"
"H02 ";"Transtornos da pálpebras"
"H020";"Entrópio e triquíase da pálpebra"
"H021";"Ectrópio da pálpebra"
"H022";"Lagoftalmo"
"H023";"Blefarocalásia"
"H024";"Ptose da pálpebra"
"H025";"Outros transtornos que afetam a função da pálpebra"
"H026";"Xantelasma da pálpebra"
"H027";"Outros transtornos degenerativos da pálpebra e da área periocular"
"H028";"Outros transtornos especificados das pálpebras"
"H029";"Transtorno não especificado da pálpebra"
"H03 ";"Transtornos da pálpebras em doenças classificadas em outras partes"
"H030";"Infestação parasitária da pálpebra em doenças classificadas em outra parte"
"H031";"Comprometimento da pálpebra em outras doenças infecciosas classificadas em outra parte"
"H038";"Comprometimento da pálpebra em outras doenças classificadas em outras partes"
"H04 ";"Transtornos do aparelho lacrimal"
"H040";"Dacrioadenite"
"H041";"Outros transtornos da glândula lacrimal"
"H042";"Epífora"
"H043";"Inflamação aguda e não especificada dos canais lacrimais"
"H044";"Inflamação crônica dos canais lacrimais"
"H045";"Estenose e insuficiência dos canais lacrimais"
"H046";"Outras alterações nos canais lacrimais"
"H048";"Outros transtornos do aparelho lacrimal"
"H049";"Transtorno não especificado do aparelho lacrimal"
"H05 ";"Transtornos da órbita"
"H050";"Inflamação aguda da órbita"
"H051";"Transtornos inflamatórios crônicos da órbita"
"H052";"Afecções exoftálmicas"
"H053";"Deformidade da órbita"
"H054";"Enoftalmia"
"H055";"Corpo estranho (antigo) retido conseqüente a ferimento perfurante da órbita"
"H058";"Outros transtornos da órbita"
"H059";"Transtorno não especificado da órbita"
"H06 ";"Transtornos do aparelho lacrimal e da órbita em doenças classificadas em outra parte"
"H060";"Transtornos do aparelho lacrimal em doenças classificadas em outra parte"
"H061";"Infestação parasitária da órbita em doenças classificadas em outra parte"
"H062";"Exoftalmo distireoídeo"
"H063";"Outros transtornos da órbita em doenças classificadas em outra parte"
"H10 ";"Conjuntivite"
"H100";"Conjuntivite mucopurulenta"
"H101";"Conjuntivite aguda atópica"
"H102";"Outras conjuntivites agudas"
"H103";"Conjuntivite aguda não especificada"
"H104";"Conjuntivite crônica"
"H105";"Blefaroconjuntivite"
"H108";"Outras conjuntivites"
