"co_grupo";"co_sub_grupo";"co_forma_organizacao";"co_procedimento";"no_procedimento"
"02";"02";"07";"0202070255";"DOSAGEM DE LITIO                                                                                                                                                                                                                                          "
"02";"02";"07";"0202070263";"DOSAGEM DE MERCURIO                                                                                                                                                                                                                                       "
"02";"02";"07";"0202070271";"DOSAGEM DE META-HEMOGLOBINA                                                                                                                                                                                                                               "
"02";"02";"07";"0202070280";"DOSAGEM DE METABOLITOS DA COCAINA                                                                                                                                                                                                                         "
"02";"02";"07";"0202070298";"DOSAGEM DE METOTREXATO                                                                                                                                                                                                                                    "
"02";"02";"07";"0202070301";"DOSAGEM DE QUINIDINA                                                                                                                                                                                                                                      "
"02";"02";"07";"0202070310";"DOSAGEM DE SALICILATOS                                                                                                                                                                                                                                    "
"02";"02";"07";"0202070328";"DOSAGEM DE SULFATOS                                                                                                                                                                                                                                       "
"02";"02";"07";"0202070336";"DOSAGEM DE TEOFILINA                                                                                                                                                                                                                                      "
"02";"02";"07";"0202070344";"DOSAGEM DE TIOCIANATO                                                                                                                                                                                                                                     "
"02";"02";"07";"0202070352";"DOSAGEM DE ZINCO                                                                                                                                                                                                                                          "
"02";"02";"08";"0202080013";"ANTIBIOGRAMA                                                                                                                                                                                                                                              "
"02";"02";"08";"0202080021";"ANTIBIOGRAMA C/ CONCENTRACAO INIBITORIA MINIMA                                                                                                                                                                                                            "
"02";"02";"08";"0202080030";"ANTIBIOGRAMA P/ MICOBACTERIAS                                                                                                                                                                                                                             "
"02";"02";"08";"0202080048";"BACILOSCOPIA DIRETA P/ BAAR TUBERCULOSE (DIAGNÓSTICA)                                                                                                                                                                                                     "
"02";"02";"08";"0202080056";"BACILOSCOPIA DIRETA P/ BAAR (HANSENIASE)                                                                                                                                                                                                                  "
"02";"02";"08";"0202080064";"BACILOSCOPIA DIRETA P/ BAAR TUBERCULOS (CONTROLE)                                                                                                                                                                                                         "
"02";"02";"08";"0202080072";"BACTERIOSCOPIA (GRAM)                                                                                                                                                                                                                                     "
"02";"02";"08";"0202080080";"CULTURA DE BACTERIAS P/ IDENTIFICACAO                                                                                                                                                                                                                     "
"02";"02";"08";"0202080099";"CULTURA DO LEITE HUMANO (POS-PASTEURIZAÇÃO)                                                                                                                                                                                                               "
"02";"02";"08";"0202080102";"CULTURA P/ HERPESVIRUS                                                                                                                                                                                                                                    "
"02";"02";"08";"0202080110";"CULTURA PARA BAAR                                                                                                                                                                                                                                         "
"02";"02";"08";"0202080129";"CULTURA PARA BACTERIAS ANAEROBICAS                                                                                                                                                                                                                        "
"02";"02";"08";"0202080137";"CULTURA PARA IDENTIFICACAO DE FUNGOS                                                                                                                                                                                                                      "
"02";"02";"08";"0202080145";"EXAME MICROBIOLOGICO A FRESCO (DIRETO)                                                                                                                                                                                                                    "
"02";"02";"08";"0202080153";"HEMOCULTURA                                                                                                                                                                                                                                               "
"02";"02";"08";"0202080161";"IDENTIFICACAO AUTOMATIZADA DE MICROORGANISMOS                                                                                                                                                                                                             "
"02";"02";"08";"0202080170";"PEQUISA DE PNEUMOCYSTI CARINI                                                                                                                                                                                                                             "
"02";"02";"08";"0202080188";"PESQUISA DE BACILO DIFTERICO                                                                                                                                                                                                                              "
"02";"02";"08";"0202080196";"PESQUISA DE ESTREPTOCOCOS BETA-HEMOLITICOS DO GRUPO A                                                                                                                                                                                                     "
"02";"02";"08";"0202080200";"PESQUISA DE HAEMOPHILUS DUCREY                                                                                                                                                                                                                            "
"02";"02";"08";"0202080218";"PESQUISA DE HELICOBACTER PYLORI                                                                                                                                                                                                                           "
"02";"02";"08";"0202080226";"PESQUISA DE LEPTOSPIRAS                                                                                                                                                                                                                                   "
"02";"02";"08";"0202080234";"PESQUISA DE TREPONEMA PALLIDUM                                                                                                                                                                                                                            "
"02";"02";"08";"0202080242";"PROVA CONFIRMATÓRIA DA PRESENÇA DE MICRO-ORGANISMOS COLIFORMES                                                                                                                                                                                            "
"02";"02";"09";"0202090019";"ACIDO URICO LIQUIDO NO SINOVIAL E DERRAMES                                                                                                                                                                                                                "
"02";"02";"09";"0202090027";"ADENOGRAMA                                                                                                                                                                                                                                                "
"02";"02";"09";"0202090035";"CITOLOGIA P/ CLAMIDIA                                                                                                                                                                                                                                     "
"02";"02";"09";"0202090043";"CITOLOGIA P/ HERPESVIRUS                                                                                                                                                                                                                                  "
"02";"02";"09";"0202090051";"CONTAGEM ESPECIFICA DE CELULAS NO LIQUOR                                                                                                                                                                                                                  "
"02";"02";"09";"0202090060";"CONTAGEM GLOBAL DE CELULAS NO LIQUOR                                                                                                                                                                                                                      "
"02";"02";"09";"0202090078";"DETERMINACAO DE FOSFOLIPIDIOS RELACAO LECITINA - ESFINGOMIELINA NO LIQUIDO AMNIOTICO                                                                                                                                                                      "
"02";"02";"09";"0202090086";"DOSAGEM DE CREATININA NO LIQUIDO AMNIOTICO                                                                                                                                                                                                                "
"02";"02";"09";"0202090094";"DOSAGEM DE FOSFATASE ALCALINA NO ESPERMA                                                                                                                                                                                                                  "
"02";"02";"09";"0202090108";"DOSAGEM DE FRUTOSE                                                                                                                                                                                                                                        "
"02";"02";"09";"0202090116";"DOSAGEM DE FRUTOSE NO ESPERMA                                                                                                                                                                                                                             "
"02";"02";"09";"0202090124";"DOSAGEM DE GLICOSE NO LIQUIDO SINOVIAL E DERRAMES                                                                                                                                                                                                         "
"02";"02";"09";"0202090132";"DOSAGEM DE PROTEINAS NO LIQUIDO SINOVIAL E DERRAMES                                                                                                                                                                                                       "
"02";"02";"09";"0202090140";"DOSAGEM DE SODIO E CLORO NO SUOR (C/ COLETA)                                                                                                                                                                                                              "
"02";"02";"09";"0202090159";"ELETROFORESE DE PROTEINAS C/ CONCENTRACAO NO LIQUOR                                                                                                                                                                                                       "
"02";"02";"09";"0202090167";"ESPECTROFOTOMETRIA NO LIQUIDO AMNIOTICO                                                                                                                                                                                                                   "
"02";"02";"09";"0202090175";"ESPLENOGRAMA                                                                                                                                                                                                                                              "
"02";"02";"09";"0202090183";"EXAME DE CARACTERES FISICOS CONTAGEM GLOBAL E ESPECIFICA DE CELULAS                                                                                                                                                                                       "
"02";"02";"09";"0202090191";"MIELOGRAMA                                                                                                                                                                                                                                                "
"02";"02";"09";"0202090213";"PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES ( ELISA )                                                                                                                                                                                                      "
"02";"02";"09";"0202090221";"DOSAGEM DE FOSFATASE ÁCIDA NO ESPERMA                                                                                                                                                                                                                     "
"02";"02";"09";"0202090230";"PESQUISA DE CARACTERES FISICOS NO LIQUOR                                                                                                                                                                                                                  "
"02";"02";"09";"0202090248";"PESQUISA DE CELULAS ORANGIOFILAS                                                                                                                                                                                                                          "
"02";"02";"09";"0202090256";"PESQUISA DE CRISTAIS C/ LUZ POLARIZADA                                                                                                                                                                                                                    "
"02";"02";"09";"0202090264";"PESQUISA DE ESPERMATOZOIDES (APOS VASECTOMIA)                                                                                                                                                                                                             "
"02";"02";"09";"0202090272";"PESQUISA DE RAGOCITOS NO LIQUIDO SINOVIAL E DERRAMES                                                                                                                                                                                                      "
"02";"02";"09";"0202090280";"PROVA DE PROGRESSAO ESPERMATICA (CADA)                                                                                                                                                                                                                    "
"02";"02";"09";"0202090299";"PROVA DO LATEX P/ HAEMOPHILLUS INFLUENZAE, STREPTOCOCCUS PNEUMONIAE, NEISSERIA MENINGITIDIS (SOROTIPOS A, B, C)                                                                                                                                           "
"02";"02";"09";"0202090302";"PROVA DO LATEX P/ PESQUISA DO FATOR REUMATOIDE                                                                                                                                                                                                            "
"02";"02";"09";"0202090310";"REACAO DE PANDY                                                                                                                                                                                                                                           "
"02";"02";"09";"0202090329";"REACAO DE RIVALTA NO LIQUIDO SINOVIAL E DERRAMES                                                                                                                                                                                                          "
"02";"02";"09";"0202090337";"TESTE DE CLEMENTS                                                                                                                                                                                                                                         "
"02";"02";"09";"0202090345";"TESTE DE GASTROACIDOGRAMA - SECRECAO BASAL POR 60 EM 4 AMOSTRAS                                                                                                                                                                                           "
"02";"02";"09";"0202090353";"TESTE DE HOLLANDER NO SUCO GASTRICO                                                                                                                                                                                                                       "
"02";"02";"10";"0202100014";"DETERMINACAO DE CARIOTIPO EM CULTURA DE LONGA DURACAO (C/ TECNICA DE BANDAS)                                                                                                                                                                              "
"02";"02";"10";"0202100022";"DETERMINACAO DE CARIOTIPO EM MEDULA OSSEA E VILOSIDADES CORIONICAS (C/ TECNICA DE BANDAS)                                                                                                                                                                 "
"02";"02";"10";"0202100030";"DETERMINACAO DE CARIOTIPO EM SANGUE PERIFERICO (C/ TECNICA DE BANDAS)                                                                                                                                                                                     "
"02";"02";"10";"0202100049";"QUANTIFICAÇÃO/AMPLIFICAÇÃO DO HER-2                                                                                                                                                                                                                       "
"02";"02";"10";"0202100057";"FOCALIZAÇÃO ISOELÉTRICA DA TRANSFERRINA                                                                                                                                                                                                                   "
"02";"02";"10";"0202100065";"ANÁLISE DE DNA PELA TÉCNICA DE SOUTHERN BLOT                                                                                                                                                                                                              "
"02";"02";"10";"0202100073";"ANÁLISE DE DNA POR MLPA                                                                                                                                                                                                                                   "
"02";"02";"10";"0202100081";"IDENTIFICAÇÃO DE MUTAÇÃO/REARRANJOS POR PCR, PCR SENSÍVEL A METILAÇÃO, qPCR E qPCR SENSÍVEL A METILAÇÃO                                                                                                                                                   "
"02";"02";"10";"0202100090";"FISH EM METÁFASE OU NÚCLEO INTERFÁSICO, POR DOENÇA                                                                                                                                                                                                        "
"02";"02";"10";"0202100103";"IDENTIFICAÇÃO DE ALTERAÇÃO CROMOSSÔNICA SUBMICROSCÓPICA POR ARRAY-CGH                                                                                                                                                                                     "
"02";"02";"10";"0202100111";"IDENTIFICAÇÂO DE MUTAÇÃO POR SEQUENCIAMENTO POR AMPLICON ATÉ 500 PARES DE BASES                                                                                                                                                                           "
"02";"02";"10";"0202100120";"IDENTIFICAÇÃO DE GLICOSAMINOGLICANOS URINÁRIOS POR CROMATOGRAFIA EM CAMADA DELGADA , ELETROFORESE E DOSAGEM QUANTITATIVA                                                                                                                                  "
"02";"02";"10";"0202100138";"IDENTIFICAÇÃO DE OLIGOSSACARÍDEOS E SIALOSSACARÍDEOS POR CROMATOGRAFIA (CAMADA DELGADA)                                                                                                                                                                   "
"02";"02";"10";"0202100146";"DOSAGEM QUANTITATIVA DE CARNITINA, PERFIL DE ACILCARNITINAS                                                                                                                                                                                               "
"02";"02";"10";"0202100154";"DOSAGEM QUANTITATIVA DE AMINOÁCIDOS                                                                                                                                                                                                                       "
"02";"02";"10";"0202100162";"DOSAGEM QUANTITATIVA DE ÁCIDOS ORGÂNICOS                                                                                                                                                                                                                  "
"02";"02";"10";"0202100170";"ENSAIOS ENZIMÁTICOS NO PLASMA E LEUCÓCITOS PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO                                                                                                                                                                "
"02";"02";"10";"0202100189";"ENSAIOS ENZIMÁTICOS EM ERITRÓCITOS PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO                                                                                                                                                                        "
"02";"02";"10";"0202100197";"ENSAIOS ENZIMÁTICOS EM TECIDO CULTIVADO PARA DIAGNÓSTICO DE ERROS INATOS DO METABOLISMO                                                                                                                                                                   "
"02";"02";"11";"0202110010";"DETECCAO DE VARIANTES DA HEMOGLOBINA (DIAGNOSTICO TARDIO)                                                                                                                                                                                                 "
"02";"02";"11";"0202110028";"DETECCAO MOLECULAR DE MUTACAO EM HEMOGLOBINOPATIAS (CONFIRMATORIO)                                                                                                                                                                                        "
"02";"02";"11";"0202110036";"DETECCAO MOLECULAR EM FIBROSE CISTICA (CONFIRMATORIO)                                                                                                                                                                                                     "
"02";"02";"11";"0202110044";"DOSAGEM DE FENILALANINA (CONTROLE / DIAGNOSTICO TARDIO)                                                                                                                                                                                                   "
"02";"02";"11";"0202110052";"DOSAGEM DE FENILALANINA E TSH OU T4                                                                                                                                                                                                                       "
"02";"02";"11";"0202110060";"DOSAGEM DE FENILALANINA TSH OU T4 E DETECCAO DA VARIANTE DE HEMOGLOBINA (COMPONENTE DO TESTE DO PEZINHO)                                                                                                                                                  "
"02";"02";"11";"0202110079";"DOSAGEM DE TRIPSINA IMUNORREATIVA (COMPONENTE DO TESTE DO PEZINHO)                                                                                                                                                                                        "
"02";"02";"11";"0202110087";"DOSAGEM DE TSH E T4 LIVRE (CONTROLE / DIAGNOSTICO TARDIO)                                                                                                                                                                                                 "
"02";"02";"11";"0202110095";"DOSAGEM DE 17 HIDROXI PROGESTERONA EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO)                                                                                                                                                                    "
"02";"02";"11";"0202110109";"DOSAGEM DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SANGUE EM PAPEL DE FILTRO (COMPONENTE DO TESTE DO PEZINHO)                                                                                                                                             "
"02";"02";"11";"0202110117";"DOSAGEM QUANTITATIVA DA ATIVIDADE DA BIOTINIDASE EM AMOSTRAS DE SORO                                                                                                                                                                                      "
"02";"02";"11";"0202110125";"DETECÇÃO MOLECULAR DE MUTAÇÃO EM HIPERPLASIA ADRENAL CONGÊNITA                                                                                                                                                                                            "
"02";"02";"11";"0202110133";"DETECÇÃO MOLECULAR DE MUTAÇÃO EM DEFICIÊNCIA DE BIOTINIDASE                                                                                                                                                                                               "
"02";"02";"11";"0202110141";"DOSAGEM DE CLORETO NO SUOR                                                                                                                                                                                                                                "
"02";"02";"12";"0202120015";"DETERMINACAO DE ANTICORPOS ANTIPLAQUETARIOS                                                                                                                                                                                                               "
"02";"02";"12";"0202120023";"DETERMINACAO DIRETA E REVERSA DE GRUPO ABO                                                                                                                                                                                                                "
"02";"02";"12";"0202120031";"FENOTIPAGEM DE SISTEMA RH - HR                                                                                                                                                                                                                            "
"02";"02";"12";"0202120040";"IDENTIFICACAO DE ANTICORPOS SERICOS IRREGULARES C/ PAINEL DE HEMACIAS                                                                                                                                                                                     "
"02";"02";"12";"0202120058";"PESQUISA DE ANTICORPOS IRREGULARES PELO METODO DA ELUICAO                                                                                                                                                                                                 "
"02";"02";"12";"0202120066";"PESQUISA DE ANTICORPOS SERICOS IRREGULARES 37OC                                                                                                                                                                                                           "
"02";"02";"12";"0202120074";"PESQUISA DE ANTICORPOS SERICOS IRREGULARES A FRIO                                                                                                                                                                                                         "
"02";"02";"12";"0202120082";"PESQUISA DE FATOR RH (INCLUI D FRACO)                                                                                                                                                                                                                     "
"02";"02";"12";"0202120090";"TESTE INDIRETO DE ANTIGLOBULINA HUMANA (TIA)                                                                                                                                                                                                              "
"02";"02";"12";"0202120104";"TITULACAO DE ANTICORPOS ANTI A E/OU ANTI B                                                                                                                                                                                                                "
"02";"03";"01";"0203010019";"EXAME CITOPATOLOGICO CERVICO-VAGINAL/MICROFLORA                                                                                                                                                                                                           "
"02";"03";"01";"0203010027";"EXAME CITOPATOLOGICO HORMONAL SERIADO (MINIMO 3 COLETAS)                                                                                                                                                                                                  "
"02";"03";"01";"0203010035";"EXAME DE CITOLOGIA (EXCETO CERVICO-VAGINAL)                                                                                                                                                                                                               "
"02";"03";"01";"0203010043";"EXAME CITOPATOLOGICO DE MAMA                                                                                                                                                                                                                              "
"02";"03";"01";"0203010078";"CONTROLE DE QUALIDADE DO EXAME CITOPATOLÓGICO CERVICO VAGINAL                                                                                                                                                                                             "
"02";"03";"01";"0203010086";"EXAME CITOPATOLÓGICO CERVICO VAGINAL/MICROFLORA-RASTREAMENTO                                                                                                                                                                                              "
"02";"03";"02";"0203020014";"DETERMINACAO DE RECEPTORES TUMORAIS HORMONAIS                                                                                                                                                                                                             "
"02";"03";"02";"0203020022";"EXAME ANATOMO-PATOLOGICO DO COLO UTERINO - PECA CIRURGICA                                                                                                                                                                                                 "
"02";"03";"02";"0203020030";"EXAME ANATOMO-PATOLÓGICO PARA CONGELAMENTO / PARAFINA POR PEÇA CIRURGICA OU POR BIOPSIA (EXCETO COLO UTERINO E MAMA)                                                                                                                                      "
"02";"03";"02";"0203020049";"IMUNOHISTOQUIMICA DE NEOPLASIAS MALIGNAS (POR MARCADOR)                                                                                                                                                                                                   "
"02";"03";"02";"0203020057";"NECROPSIA                                                                                                                                                                                                                                                 "
"02";"03";"02";"0203020065";"EXAME ANATOMOPATOLOGICO DE MAMA - BIOPSIA                                                                                                                                                                                                                 "
"02";"03";"02";"0203020073";"EXAME ANATOMOPATOLOGICO DE MAMA - PECA CIRURGICA                                                                                                                                                                                                          "
"02";"03";"02";"0203020081";"EXAME ANATOMO-PATOLOGICO DO COLO UTERINO - BIOPSIA                                                                                                                                                                                                        "
"02";"04";"01";"0204010012";"DACRIOCISTOGRAFIA                                                                                                                                                                                                                                         "
"02";"04";"01";"0204010020";"PLANIGRAFIA DE LARINGE                                                                                                                                                                                                                                    "
"02";"04";"01";"0204010039";"RADIOGRAFIA BILATERAL DE ORBITAS (PA + OBLIQUAS + HIRTZ)                                                                                                                                                                                                  "
"02";"04";"01";"0204010047";"RADIOGRAFIA DE ARCADA ZIGOMATICO-MALAR (AP+ OBLIQUAS)                                                                                                                                                                                                     "
"02";"04";"01";"0204010055";"RADIOGRAFIA DE ARTICULACAO TEMPORO-MANDIBULAR BILATERAL                                                                                                                                                                                                   "
"02";"04";"01";"0204010063";"RADIOGRAFIA DE CAVUM (LATERAL + HIRTZ)                                                                                                                                                                                                                    "
"02";"04";"01";"0204010071";"RADIOGRAFIA DE CRANIO (PA + LATERAL + OBLIGUA / BRETTON + HIRTZ)                                                                                                                                                                                          "
"02";"04";"01";"0204010080";"RADIOGRAFIA DE CRANIO (PA + LATERAL)                                                                                                                                                                                                                      "
"02";"04";"01";"0204010098";"RADIOGRAFIA DE LARINGE                                                                                                                                                                                                                                    "
"02";"04";"01";"0204010101";"RADIOGRAFIA DE MASTOIDE / ROCHEDOS (BILATERAL)                                                                                                                                                                                                            "
"02";"04";"01";"0204010110";"RADIOGRAFIA DE MAXILAR (PA + OBLIQUA)                                                                                                                                                                                                                     "
"02";"04";"01";"0204010128";"RADIOGRAFIA DE OSSOS DA FACE (MN + LATERAL + HIRTZ)                                                                                                                                                                                                       "
"02";"04";"01";"0204010136";"RADIOGRAFIA DE REGIAO ORBITARIA (LOCALIZACAO DE CORPO ESTRANHO)                                                                                                                                                                                           "
"02";"04";"01";"0204010144";"RADIOGRAFIA DE SEIOS DA FACE (FN + MN + LATERAL + HIRTZ)                                                                                                                                                                                                  "
"02";"04";"01";"0204010152";"RADIOGRAFIA DE SELA TURSICA (PA + LATERAL + BRETTON)                                                                                                                                                                                                      "
"02";"04";"01";"0204010160";"RADIOGRAFIA OCLUSAL                                                                                                                                                                                                                                       "
"02";"04";"01";"0204010179";"RADIOGRAFIA PANORAMICA                                                                                                                                                                                                                                    "
"02";"04";"01";"0204010187";"RADIOGRAFIA PERI-APICAL INTERPROXIMAL (BITE-WING)                                                                                                                                                                                                         "
"02";"04";"01";"0204010195";"SIALOGRAFIA (POR GLANDULA)                                                                                                                                                                                                                                "
"02";"04";"01";"0204010209";"TELERADIOGRAFIA COM TRACADOS E SEM TRACADOS                                                                                                                                                                                                               "
"02";"04";"02";"0204020018";"MIELOGRAFIA                                                                                                                                                                                                                                               "
"02";"04";"02";"0204020026";"PLANIGRAFIA DE COLUNA VERTEBRAL                                                                                                                                                                                                                           "
"02";"04";"02";"0204020034";"RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO + OBLIQUAS)                                                                                                                                                                                             "
"02";"04";"02";"0204020042";"RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO / FLEXAO)                                                                                                                                                                                               "
"02";"04";"02";"0204020050";"RADIOGRAFIA DE COLUNA CERVICAL FUNCIONAL / DINAMICA                                                                                                                                                                                                       "
"02";"04";"02";"0204020069";"RADIOGRAFIA DE COLUNA LOMBO-SACRA                                                                                                                                                                                                                         "
"02";"04";"02";"0204020077";"RADIOGRAFIA DE COLUNA LOMBO-SACRA (C/ OBLIQUAS)                                                                                                                                                                                                           "
"02";"04";"02";"0204020085";"RADIOGRAFIA DE COLUNA LOMBO-SACRA FUNCIONAL / DINAMICA                                                                                                                                                                                                    "
"02";"04";"02";"0204020093";"RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL)                                                                                                                                                                                                             "
"02";"04";"02";"0204020107";"RADIOGRAFIA DE COLUNA TORACO-LOMBAR                                                                                                                                                                                                                       "
"02";"04";"02";"0204020115";"RADIOGRAFIA DE COLUNA TORACO-LOMBAR DINAMICA                                                                                                                                                                                                              "
"02";"04";"02";"0204020123";"RADIOGRAFIA DE REGIAO SACRO-COCCIGEA                                                                                                                                                                                                                      "
"02";"04";"02";"0204020131";"RADIOGRAFIA PANORAMICA DE COLUNA TOTAL- TELESPONDILOGRAFIA ( P/ ESCOLIOSE)                                                                                                                                                                                "
"02";"04";"03";"0204030013";"BRONCOGRAFIA UNILATERAL                                                                                                                                                                                                                                   "
